dataset,feature_set,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std
full,presentation_only,0.32359185741347063,0.00899059588918898,0.6263853449975436,0.00868820526470292
full,diff_bos,0.3220643104471278,0.01907905720826233,0.5787493344536377,0.01368005319647347
full,diff_bos_pres,0.3331588463035543,0.017827995376384735,0.6014660116633024,0.013367887633958717
full,diff_eos,0.31591802036411765,0.017700403338996636,0.5802140630293466,0.015361778898103374
full,diff_eos_pres,0.3356483384143408,0.014591872346011977,0.6143410923491824,0.01693640703327966
full,diff_mutpos,0.35469122558895194,0.019102700268118524,0.6067230403333994,0.017033153527382033
full,diff_mutpos_pres,0.3668329694735762,0.020749462780855116,0.629310252941234,0.020050435341122337
full,diff_mean,0.3304064538144106,0.009672038494814962,0.5939695231611604,0.011057193477534649
full,diff_mean_pres,0.34695465047810226,0.016599649725972554,0.6171243503068298,0.01380209302194665
